Date,Time,Home Team,Away,Network
November 12,2:00 PM,Northeastern,Boston College,ACCNX
November 12,2:00 PM,Mercer,Clemson,ACCNX
November 12,2:00 PM,Fordham,Miami,ACCNX
November 12,2:00 PM,Notre Dame,NJIT,ESPN+
November 12,2:00 PM,Campbell,Virginia,ACCNX
November 12,3:00 PM,UConn,NC State,ABC
November 12,4:00 PM,DePaul,Louisville,ACCN
November 12,6:00 PM,Davidson,North Carolina,ACCN
November 12,5:00 PM,Auburn,Rutgers,Big Ten Network
November 11,2:00 PM,Furman,Georgia Tech,ACCNX
November 11,2:00 PM,West Virginia,Pitt,ACCNX
November 11,TBA,Wake Forest,Davidson,ESPN+
November 10,7:00 PM,Charleston So.,Clemson,ACCNX
November 10,7:00 PM,C. Connecticut,Syracuse,ACCNX
November 9,11:00 AM,Jacksonville,Miami,ACCNX
November 9,6:00 PM,Harvard,Boston College,ACCN
November 9,6:00 PM,Tennessee,Florida State,ESPN2
November 9,7:00 PM,Coastal Carolina,Duke,ACCNX
November 8,7:00 PM,Gardner-Webb,North Carolina,ACCNX
November 8,7:00 PM,UMES,Virginia,ACCNX
November 7,7:00 PM,Charlotte,NC State,ACCN
November 7,7:00 PM,Lafayette,Syracuse,ACCNX
November 7,7:00 PM,Yale,Pitt,ACCNX
November 6,11:00 AM,Winthrop,Clemson,ACCNX
November 6,11:00 AM,Richmond,Duke,ACCNX
November 6,11:00 AM,Coastal Carolina,Georgia Tech,ACCNX
November 6,1:00 PM,Notre Dame,South Carolina,ESPN
November 6,5:00 PM,Holy Cross,Boston College,ACCNX
November 6,5:00 PM,High Point,Virginia Tech,ACCN
November 6,5:00 PM,Wofford,Wake Forest,ACCNX
November 6,6:00 PM,Charleston So.,Florida State,ACCNX
November 6,6:00 PM,Louisville,Cincinnati,ESPN+
October 15,3:00 PM,DePaul,Iowa,Big Ten Network
March 3,12:00 PM,Baylor,Oklahoma State,ESPN2
February 25,2:00 PM,Kansas,Kansas State,ESPN2
February 24,2:00 PM,Oklahoma,Oklahoma State,FOX
February 18,4:00 PM,Baylor,Texas Tech,ESPN2/U
February 17,2:00 PM,Texas,Iowa State,ESPNU
February 11,1:00 PM,Iowa,Nebraska,FS1
February 11,3:00 PM,Maryland,Illinois,FS1
February 10,2:00 PM,Rutgers,Michigan,Big Ten Network
February 8,7:00 PM,Michigan State,Indiana,Peacock
February 8,9:00 PM,Ohio State,Minnesota,Peacock
February 8,9:00 PM,Penn State,Iowa,Big Ten Network
February 6,8:30 PM,Maryland,Rutgers,Big Ten Network
February 5,6:00 PM,Minnesota,Michigan State,Big Ten Network
February 5,8:00 PM,Illinois,Purdue,Big Ten Network
February 4,12:00 PM,Indiana,Ohio State,FS1
February 4,2:00 PM,Texas,Kansas State,FS1
February 3,5:30/8:00 PM,Iowa,Maryland,FOX
February 3,6:00 PM,Michigan,Penn State,Big Ten Network
February 1,6:00 PM,Wisconsin,Ohio State,Big Ten Network
February 1,8:30 PM,Baylor,Texas,ESPN
January 31,7:00 PM,Indiana,Maryland,Peacock
January 31,8:00 PM,Iowa,Northwestern,Peacock
January 28,2:00 PM,Oklahoma State,Baylor,ESPNU
January 27,2:00 PM,Nebraska,Iowa,Big Ten Network
January 25,7:00 PM,Ohio State,Illinois,Peacock
January 25,8:00 PM,Penn State,Northwestern,Big Ten Network
January 24,7:00 PM,Texas,Oklahoma,ESPNU
January 23,9:00 PM,Minnesota,Wisconsin,Big Ten Network
January 22,8:30 PM,Baylor,Kansas State,FS1
January 21,12:00 PM,Iowa,Ohio State,NBC
January 21,2:00 PM,Indiana,Purdue,Peacock
January 18,7:00 PM,Purdue,Penn State,Big Ten Network
January 17,7:00 PM,Ohio State,Maryland,Peacock
January 17,8:00 PM,Minnesota,Indiana,Peacock
January 16,9:00 PM,Wisconsin,Iowa,Peacock
January 14,12 or 4 PM,Michigan State,Ohio State,Big Ten Network
January 13,8:00 PM,Indiana,Iowa,FOX
January 13,2:00 PM,Kansas State,Texas,ESPNU
January 11,6:00 PM,Rutgers,Ohio State,Big Ten Network
January 11,8:00 PM,Illinois,Nebraska,Big Ten Network
January 10,8:00 PM,Iowa,Purdue,Peacock
January 10,7:00 PM,Kansas State,Oklahoma,ESPNU
January 9,6:00 PM,Maryland,Michigan State,Big Ten Network
January 9,8:00 PM,Minnesota,Michigan,Big Ten Network
January 7,TBD,Indiana,Nebraska,Big Ten Network
January 6,4:30 PM,Purdue,Maryland,Big Ten Network
January 5,6:00 PM,Iowa,Rutgers,Big Ten Network
January 4,7:00 PM,Michigan,Indiana,Big Ten Network
January 4,9:00 PM,Nebraska,Wisconsin,Big Ten Network
January 2,9:00 PM,Michigan State,Iowa,Peacock
